Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum2DDiameterColumn,Maximum2DDiameterRow,Maximum2DDiameterSlice,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,10Percentile_T1,90Percentile_T1,Energy_T1,Entropy_T1,InterquartileRange_T1,Kurtosis_T1,Maximum_T1,MeanAbsoluteDeviation_T1,Mean_T1,Median_T1,Minimum_T1,Range_T1,RobustMeanAbsoluteDeviation_T1,RootMeanSquared_T1,Skewness_T1,TotalEnergy_T1,Uniformity_T1,Variance_T1,Autocorrelation_T1,JointAverage_T1,ClusterProminence_T1,ClusterShade_T1,ClusterTendency_T1,Contrast_T1,Correlation_T1,DifferenceAverage_T1,DifferenceEntropy_T1,DifferenceVariance_T1,JointEnergy_T1,JointEntropy_T1,Imc1_T1,Imc2_T1,Idm_T1,Idmn_T1,Id_T1,Idn_T1,InverseVariance_T1,MaximumProbability_T1,SumEntropy_T1,SumSquares_T1,GrayLevelNonUniformity_T1,GrayLevelNonUniformityNormalized_T1,GrayLevelVariance_T1,HighGrayLevelRunEmphasis_T1,LongRunEmphasis_T1,LongRunHighGrayLevelEmphasis_T1,LongRunLowGrayLevelEmphasis_T1,LowGrayLevelRunEmphasis_T1,RunEntropy_T1,RunLengthNonUniformity_T1,RunLengthNonUniformityNormalized_T1,RunPercentage_T1,RunVariance_T1,ShortRunEmphasis_T1,ShortRunHighGrayLevelEmphasis_T1,ShortRunLowGrayLevelEmphasis_T1,GrayLevelNonUniformity_T1,GrayLevelNonUniformityNormalized_T1,GrayLevelVariance_T1,HighGrayLevelZoneEmphasis_T1,LargeAreaEmphasis_T1,LargeAreaHighGrayLevelEmphasis_T1,LargeAreaLowGrayLevelEmphasis_T1,LowGrayLevelZoneEmphasis_T1,SizeZoneNonUniformity_T1,SizeZoneNonUniformityNormalized_T1,SmallAreaEmphasis_T1,SmallAreaHighGrayLevelEmphasis_T1,SmallAreaLowGrayLevelEmphasis_T1,ZoneEntropy_T1,ZonePercentage_T1,ZoneVariance_T1,DependenceEntropy_T1,DependenceNonUniformity_T1,DependenceNonUniformityNormalized_T1,DependenceVariance_T1,GrayLevelNonUniformity_T1,GrayLevelVariance_T1,HighGrayLevelEmphasis_T1,LargeDependenceEmphasis_T1,LargeDependenceHighGrayLevelEmphasis_T1,LargeDependenceLowGrayLevelEmphasis_T1,LowGrayLevelEmphasis_T1,SmallDependenceEmphasis_T1,SmallDependenceHighGrayLevelEmphasis_T1,SmallDependenceLowGrayLevelEmphasis_T1,10Percentile_T2,90Percentile_T2,Energy_T2,Entropy_T2,InterquartileRange_T2,Kurtosis_T2,Maximum_T2,MeanAbsoluteDeviation_T2,Mean_T2,Median_T2,Minimum_T2,Range_T2,RobustMeanAbsoluteDeviation_T2,RootMeanSquared_T2,Skewness_T2,TotalEnergy_T2,Uniformity_T2,Variance_T2,Autocorrelation_T2,JointAverage_T2,ClusterProminence_T2,ClusterShade_T2,ClusterTendency_T2,Contrast_T2,Correlation_T2,DifferenceAverage_T2,DifferenceEntropy_T2,DifferenceVariance_T2,JointEnergy_T2,JointEntropy_T2,Imc1_T2,Imc2_T2,Idm_T2,Idmn_T2,Id_T2,Idn_T2,InverseVariance_T2,MaximumProbability_T2,SumEntropy_T2,SumSquares_T2,GrayLevelNonUniformity_T2,GrayLevelNonUniformityNormalized_T2,GrayLevelVariance_T2,HighGrayLevelRunEmphasis_T2,LongRunEmphasis_T2,LongRunHighGrayLevelEmphasis_T2,LongRunLowGrayLevelEmphasis_T2,LowGrayLevelRunEmphasis_T2,RunEntropy_T2,RunLengthNonUniformity_T2,RunLengthNonUniformityNormalized_T2,RunPercentage_T2,RunVariance_T2,ShortRunEmphasis_T2,ShortRunHighGrayLevelEmphasis_T2,ShortRunLowGrayLevelEmphasis_T2,GrayLevelNonUniformity_T2,GrayLevelNonUniformityNormalized_T2,GrayLevelVariance_T2,HighGrayLevelZoneEmphasis_T2,LargeAreaEmphasis_T2,LargeAreaHighGrayLevelEmphasis_T2,LargeAreaLowGrayLevelEmphasis_T2,LowGrayLevelZoneEmphasis_T2,SizeZoneNonUniformity_T2,SizeZoneNonUniformityNormalized_T2,SmallAreaEmphasis_T2,SmallAreaHighGrayLevelEmphasis_T2,SmallAreaLowGrayLevelEmphasis_T2,ZoneEntropy_T2,ZonePercentage_T2,ZoneVariance_T2,DependenceEntropy_T2,DependenceNonUniformity_T2,DependenceNonUniformityNormalized_T2,DependenceVariance_T2,GrayLevelNonUniformity_T2,GrayLevelVariance_T2,HighGrayLevelEmphasis_T2,LargeDependenceEmphasis_T2,LargeDependenceHighGrayLevelEmphasis_T2,LargeDependenceLowGrayLevelEmphasis_T2,LowGrayLevelEmphasis_T2,SmallDependenceEmphasis_T2,SmallDependenceHighGrayLevelEmphasis_T2,SmallDependenceLowGrayLevelEmphasis_T2,OS1year
0.814251962,0.670977542,11.20285921,16.69632515,19.20937271,19.41648784,19.31320792,21.47091055,1107.666667,13.59501551,0.484070532,1069.501841,0.965544846,1135,-0.288682461,0.259609801,57.46793068,0.896351167,0.266343055,3.613909282,0.809191525,0.169958909,-0.054088398,-0.099388339,-0.761250556,1.57044208,0.112783064,0.225016751,0.840163973,57.46793068,0.570106154,0.047706983,1.730659997,1.27056722,0.918685619,0.499558889,0.627037173,0.162083328,0.588130139,0.162083328,0.633763151,0.134849298,0.470590451,1.441004939,-0.287722776,0.610682898,0.918958336,0.967583334,0.918958336,0.945972224,0.162083328,0.648391115,1.278921611,0.197280125,237.1844058,0.508654789,0.245672606,2.310786446,9.893132915,16.12825676,8.334351953,0.672303388,3.203761236,128.3238429,0.269105249,0.410640461,3.542532086,0.514581304,1.387745662,0.296290215,7.142857143,0.510204082,0.244897959,2.714285714,48532.07143,69671.14286,43247.30357,0.571428571,5,0.357142857,0.597774225,1.722941771,0.316482339,2.638460067,0.012334802,41959.4949,5.36670103,48.2,0.04246696,45.7853139,647.0704846,0.214946923,1.938325991,312.2370044,488.3753304,268.2024229,0.765418502,0.016814423,0.047698996,0.009093279,0.083773549,0.619180262,199.8939321,0.264823383,0.275330901,5.260727545,1.466769814,0.176412618,0.346820541,0.341922849,-0.66556859,2.132338405,0.114264854,0.420034391,0.389443087,199.8939321,0.914025905,0.056144402,3.871983104,1.965964975,0.151862136,-0.100063973,0.079656753,0.051823642,0.206767717,0.051823642,0.293290942,0.049086416,0.885173387,0.410945577,-0.078265721,0.164804985,0.974088179,0.989635272,0.974088179,0.982725453,0.051823642,0.940053154,0.359121935,0.032870099,306.8023005,0.793564505,0.103217748,3.648471899,14.7334586,58.39022165,3.819267833,0.337882025,3.050418755,82.06505053,0.208210293,0.340077398,5.397693166,0.434554713,1.422270878,0.187625671,8.2,0.82,0.09,1.3,117128.5,468345.7,29324.2,0.925,1.4,0.14,0.25710631,0.257106567,0.257106246,2.921928095,0.008826125,104291.61,4.551217871,56.43336275,0.049808793,42.38721996,1035.59135,0.042987047,3.864960282,372.0997352,1485.345984,93.78817299,0.283759929,0.010263142,0.025349001,0.006491678,1
0.529901709,0.425207525,34.51531441,81.17286828,74.43117626,50.6359556,74.67261881,76.97402159,55589.58333,43.0136416,0.526562317,13377.14068,0.24064114,55741,-1.001990438,0.241658807,35325.66275,0.611447458,0.503127307,8.887236668,3.124366522,0.402657316,-0.5282576,-0.615840495,-5.990905285,9.115271807,0.228717718,0.796081958,-0.322806979,35325.66275,0.744100413,0.354690392,1.375445253,1.134252237,0.980548541,0.560011028,0.410260392,0.054622915,0.764264316,0.054622915,0.3043981,0.051550454,0.716007893,0.840156735,-0.522494289,0.667763985,0.972688542,0.989075417,0.972688542,0.981792362,0.054622915,0.838436305,0.785533819,0.116220827,3685.213049,0.517407911,0.241296044,2.220844988,131.7165406,150.8060851,126.9441545,0.694788753,4.82132522,634.9273203,0.086807295,0.127714305,63.7167443,0.25997664,0.778717089,0.130291528,30.33333333,0.722222222,0.138888889,3.5,54187659.64,56707621,53557669.3,0.375,10.57142857,0.25170068,0.506515199,1.664453653,0.217030585,3.285706425,0.000753485,52426288.28,3.242281186,18781.08317,0.336934809,26.4742057,41476.90111,0.127949794,1.451929459,587.1895194,752.0782189,545.9673445,0.887017635,0.003078539,0.006915158,0.002119384,0.772751558,1.918943357,117572.8678,0.117221345,0.528289378,9.239472412,5.233341217,0.383023532,1.339712851,1.331269741,-3.953745127,9.187086344,0.224884619,1.45256746,-0.02779324,117572.8678,0.968879239,0.315121702,3.956489635,1.987666217,0.100425331,-0.056946727,0.035707523,0.013018033,0.461775522,0.013018033,0.09980392,0.012842339,0.962794883,0.164015792,-0.286356294,0.227563723,0.993490984,0.997396393,0.993490984,0.995660656,0.013018033,0.981157201,0.150997759,0.012181389,3975.707369,0.794058841,0.102970579,3.650032244,220.0787025,879.0174922,55.3440051,0.337491939,4.896877126,287.7117852,0.056063882,0.089754403,82.07539697,0.188642248,0.497677974,0.111383317,49.03921569,0.961553249,0.019223376,1.058823529,58976116.88,235896408.9,14746043.88,0.985294118,6.529411765,0.128027682,0.334015347,0.334015347,0.334015347,3.622969462,0.000915241,57782324.98,2.315370041,25323.06195,0.454445417,19.5001724,53988.85783,0.015560381,3.952568957,627.9307467,2505.694076,158.4899144,0.261857761,0.002605663,0.00825893,0.001192346,1
0.535416551,0.330715533,20.97022464,63.40864738,47.01063709,40.22437072,58.05170109,60.71243695,9835.833333,33.9500393,0.492632562,4506.455816,0.458167159,9925,0.354418015,1.457429862,10762.9558,0.327644868,0.499840617,7.174390639,2.460707426,0.373237482,0.888316381,0.949804008,-1.891151786,4.351859212,0.213292331,1.04135911,-1.458908535,10762.9558,0.88711134,0.295322804,3.834468897,1.950387517,0.450385026,-0.249085448,0.155170148,0.03338731,0.636509348,0.03338731,0.208278153,0.032142553,0.873578718,0.446996966,-0.421705304,0.451949815,0.983306345,0.993322538,0.983306345,0.988870897,0.03338731,0.933693862,0.413609655,0.047139365,1214.315973,0.704011868,0.147994066,3.456095005,59.20434497,233.448679,15.64326147,0.385976249,4.162312025,173.4299014,0.096842677,0.174105793,21.55829672,0.253468294,0.692035312,0.143826539,4.25,0.53125,0.234375,2.125,5385015.125,21474177.5,1362724.531,0.71875,1.25,0.15625,0.281252998,0.281253366,0.281252906,2.75,0.000806045,3845864.734,3.55641146,2095.952746,0.211179118,30.9015766,8804.58005,0.05644433,3.819848866,535.9485139,2108.289169,142.8633501,0.295037783,0.003193732,0.010069056,0.001474901,-0.724438339,0.152301103,2178.183261,0.726906992,0.430464756,5.217605023,2.178715706,0.287035122,-0.260679642,-0.24008397,-2.048607349,4.227323055,0.181271094,0.468919233,0.130299354,2178.183261,0.677008296,0.151931372,1.477055814,1.182959775,0.827083006,0.484182831,0.454222882,0.143647023,0.517942754,0.143647023,0.588281427,0.122187557,0.57887749,1.207326046,-0.240087009,0.517413952,0.928176488,0.971270595,0.928176488,0.952117659,0.143647023,0.745216713,1.063679023,0.149467476,1372.276399,0.519555412,0.240222294,2.204557176,29.22351384,36.44982104,27.41693704,0.698860706,3.840683691,482.1239613,0.1770899,0.266582801,13.13835844,0.405448358,1.11440964,0.228208038,17.92307692,0.689349112,0.155325444,3.423076923,1249946.231,1420077.615,1207413.385,0.394230769,2.846153846,0.109467456,0.286646626,1.002355554,0.107719394,3.888154507,0.002624672,1104785.231,4.609334146,942.1508177,0.095109107,43.32112318,6706.444175,0.161495852,1.6075106,446.0797496,571.5134262,414.7213305,0.84812235,0.006347618,0.016990333,0.003686939,0
0.65126857,0.466144626,42.43806841,91.04056136,93.00537619,107.9351657,87.23531395,109.2565787,48064.125,59.29185618,0.277512474,23036.45469,0.479285844,48068,-0.73903296,0.835583848,37322.14296,0.902682105,0.685054459,17.16233713,1.865237951,0.546170636,0.081888411,0.242427252,-5.120201111,6.985439062,0.298247528,0.881160985,-3.08412194,37322.14296,0.565924651,0.76973897,2.986059737,1.690731233,0.904401588,-0.454467604,0.682204379,0.172267923,0.596594762,0.172267923,0.654595138,0.141090554,0.431673295,1.522423885,-0.293702159,0.626991431,0.913866038,0.965546415,0.913866038,0.942577359,0.172267923,0.604597271,1.350155962,0.213618076,7323.059159,0.509166355,0.245416822,2.702606795,23.66318402,79.04916342,9.816689169,0.574348301,3.87885564,2676.549359,0.179148863,0.299129118,10.57439585,0.380154564,0.879858208,0.255228653,47.125,0.736328125,0.131835938,1.46875,17659563.94,62496020.2,6450449.871,0.8828125,12.96875,0.202636719,0.434558944,0.627387332,0.386351847,3.335417771,0.001331447,17095469.06,5.106697165,3082.672963,0.0641315,36.76107338,27202.86615,0.217037674,3.04466589,406.2710743,1330.497816,175.214389,0.488833528,0.005665516,0.013257864,0.003767429,-0.250154883,1.566888571,49878.27035,0.657558664,0.8062791,5.783455342,3.87707901,0.567900048,0.630626007,0.640832901,-2.404105186,6.281184196,0.346411203,1.018624492,-0.377849289,49878.27035,0.717884308,0.639906694,3.509687603,1.849612095,0.951346994,-0.549875947,0.432718371,0.078297365,0.692286725,0.078297365,0.393638529,0.071939092,0.67255304,0.961025447,-0.425167228,0.632570074,0.960851318,0.984340527,0.960851318,0.973900878,0.078297365,0.810463413,0.882728082,0.127753934,5802.262244,0.548568996,0.225715502,2.966659895,48.99844793,186.5144577,14.61944547,0.508335026,4.211090372,1543.541644,0.141154679,0.219791878,25.26331738,0.337486341,0.814938121,0.218123396,62.97297297,0.850986121,0.074506939,1.243243243,20065437.28,79914504.2,5103170.554,0.939189189,6.432432432,0.086924763,0.274838332,0.315492627,0.264674758,4.480072711,0.00153939,19643446.59,4.280082255,6814.21383,0.141753112,36.9017528,34509.41659,0.141057846,3.490191592,489.9704812,1819.313037,157.6348422,0.377452102,0.004368233,0.011471124,0.00259251,0
0.419818729,0.263837699,6.30435248,23.89481299,15.8113883,13.89244399,20,22.4053565,410,10.03149003,0.472482951,564.8769937,1.377748765,445,0.366441083,1.188136363,339.5518286,0.142700423,0.412362099,4.151643888,2.019100189,0.262385785,0.80039814,0.819155395,-0.4550201,2.474120289,0.168696025,0.873520359,-0.164238426,339.5518286,0.96036864,0.122400635,3.941105308,1.984506201,0.068140209,-0.046038146,0.036175608,0.024826588,0.188181891,0.024826588,0.166541201,0.0241719,0.945327002,0.219123329,-0.099614309,0.123096013,0.987586706,0.995034682,0.987586706,0.991724471,0.024826588,0.972092907,0.194296741,0.015250549,173.1023761,0.915716742,0.042141629,3.867621192,8.351327669,33.2261694,2.132617238,0.283094702,2.407617773,50.5565733,0.259643441,0.424027658,2.171951186,0.450568083,1.681584143,0.142814068,3.571428571,0.510204082,0.244897959,2.285714286,11785.28571,47127.85714,2949.642857,0.678571429,1.285714286,0.183673469,0.327225251,0.327472431,0.327163456,2.521640636,0.015730337,7743.959184,4.526324333,21.06741573,0.047342507,36.18590582,427.3640449,0.01981568,3.939325843,291.3955056,1164.67191,73.07640449,0.265168539,0.012446897,0.031585342,0.007662286,-0.476762554,0.702326602,103.3259982,0.95609304,0.57583439,3.163060028,1.378517151,0.364253763,0.110681539,0.098905239,-1.287510037,2.666027188,0.240684773,0.484594484,-0.073899533,103.3259982,0.530123967,0.222581411,2.655106596,1.594185938,0.759248494,-0.2206611,0.709282388,0.254902435,0.471693559,0.254902435,0.784506345,0.181595651,0.336311938,1.749205024,-0.204343677,0.514755986,0.872548783,0.949019513,0.872548783,0.915032522,0.254902435,0.46673472,1.494302589,0.241046206,129.8164356,0.529558065,0.235220967,2.862150229,4.770127616,13.7510062,2.52490797,0.534462443,2.660491817,94.07287472,0.368847276,0.557692308,1.154025456,0.590174104,1.69639191,0.313619652,5.545454545,0.504132231,0.247933884,2.363636364,3692.545455,11465.81818,1749.227273,0.659090909,1.363636364,0.123966942,0.139730457,0.209650619,0.122250416,3.277613437,0.025,2092.545455,5.343160383,22.99090909,0.052252066,29.09545455,233.2545455,0.234938017,2.868181818,185.3454545,534.75,97.99431818,0.532954545,0.019570785,0.050317998,0.011883981,1
0.858433835,0.745895214,19.31772526,25.89871189,30.23243292,27.73084925,32.01562119,33.2565783,7228.625,22.23233056,0.617525067,2927.745551,0.405021086,7264,0.395334101,1.373115337,6771.963847,0.113224053,0.538939267,8.328975238,3.848646641,0.340458548,0.845746394,0.778570026,-2.486278772,6.334925413,0.223710062,0.96553806,0.898929019,6771.963847,0.970172288,0.216976782,3.961642528,1.98895198,0.098781787,-0.054870733,0.033275221,0.010426823,0.517440483,0.010426823,0.083151999,0.010311521,0.967837456,0.144798272,-0.343543061,0.237494936,0.994786588,0.997914635,0.994786588,0.996524392,0.010426823,0.983738568,0.134371448,0.010925511,854.5492972,0.863017112,0.068491444,3.777887891,92.69844938,370.0731056,23.35478532,0.305528027,4.113986108,94.68890319,0.094022616,0.136203829,33.96268859,0.26168344,0.886825434,0.105397942,5.285714286,0.755102041,0.12244898,1.428571429,7312352.571,29246516.57,1828811.571,0.892857143,1.285714286,0.183673469,0.323266454,0.323266462,0.323266452,2.521640636,0.000963656,6235501.633,3.016239986,2154.218888,0.29656097,28.20479214,7047.331498,0.014913856,3.954570485,578.5154185,2308.664648,145.9781112,0.261357379,0.003146286,0.010472213,0.001314804,-0.069499946,1.021290708,2630.05679,0.570387638,0.525998551,3.623622143,2.143533468,0.33805514,0.413536289,0.351959363,-1.144990325,3.288523793,0.224293015,0.601720275,0.521156554,2630.05679,0.766779727,0.191055027,3.524962557,1.859870817,0.782101857,-0.457815297,0.372661402,0.109299786,0.546696295,0.109299786,0.493053044,0.096788619,0.662230788,1.007844613,-0.276077712,0.515194222,0.945350107,0.978140043,0.945350107,0.963566738,0.109299786,0.805220924,0.898544827,0.120490297,971.1290072,0.606990102,0.196504949,3.190303209,40.42112553,154.6854074,11.85505507,0.452424198,4.068972715,230.987166,0.140772671,0.220804388,17.87765283,0.348415527,0.969042946,0.193258672,11.53333333,0.768888889,0.115555556,1.4,2691131.467,10588862.87,716698.6167,0.9,3.8,0.253333333,0.469856559,0.669856564,0.419856558,2.599581231,0.002064978,2456617.262,4.360304895,824.4196035,0.113493888,35.88028639,5569.887941,0.116610136,3.595677313,487.8290198,1839.734994,149.8525262,0.351080672,0.005180038,0.013785396,0.003028699,0
0.664984374,0.577873711,11.73611157,20.30912869,22.47220505,22.47220505,16.55294536,23.38803113,2252.166667,13.50525323,0.80579091,1031.166459,0.457855306,2270,1.209262657,3.967876363,16870.73326,-3.20E-16,1.714350909,1.964683792,5.056228638,0.885001429,2.523401736,2.445386767,0.403665215,4.652563423,0.692500036,2.726177009,0.159628312,16870.73326,1,1.06448476,1,1,0,0,0,0,1,0,-3.20E-16,0,1,-3.20E-16,0,0,1,1,1,1,0,1,-3.20E-16,0,337.7692308,1,0,1,67.0416284,67.0416284,67.0416284,1,3.397893189,36.63947403,0.104673693,0.148797018,12.36370521,0.129791203,0.129791203,0.129791203,1,1,0,1,5152900,5152900,5152900,1,1,1,1.94E-07,1.94E-07,1.94E-07,-3.20E-16,0.000440529,0,3.005882422,597.0008811,0.262995983,24.99245784,2270,0,1,560.0484581,560.0484581,560.0484581,1,0.002341956,0.002341956,0.002341956,0.703443408,3.111370182,10386.32743,0.162101547,1.46549651,2.373400416,3.928766251,0.783324322,1.924259818,1.966530859,-0.798914552,4.727680802,0.592398062,2.138094229,-0.245452248,10386.32743,0.953594587,0.868671084,3.937914454,1.982617411,0.127868361,-0.074195883,0.048430109,0.019875555,0.39595163,0.019875555,0.139873242,0.019456898,0.94639027,0.22075919,-0.238685121,0.223357,0.990062222,0.996024889,0.990062222,0.993374815,0.019875555,0.972679633,0.200883634,0.017076416,308.4804967,0.811182929,0.094408536,3.681960868,56.44578205,224.9754431,14.31336678,0.329509783,3.624930864,42.59624424,0.107902787,0.166779523,14.49589571,0.207269207,0.585515277,0.11270769,3.4,0.68,0.16,1.6,984333.2,3936047.6,246404.6,0.85,1,0.2,0.234816781,0.234816903,0.23481675,2.321928095,0.002200704,777853.84,3.275971646,529.9674296,0.233260312,30.54625508,2166.566901,0.023202707,3.928697183,544.1910211,2171.112676,137.4606074,0.267825704,0.003790029,0.010778152,0.002042998,1
0.493162896,0.320605657,17.30484303,53.97547629,36.61966685,42.80186912,35.17101079,45.65084884,5864.583333,26.61870218,0.54038241,2910.321908,0.496253824,5927,-0.079985504,0.783610022,1437.193524,0.577670664,0.416838586,3.750019386,2.068984509,0.265312243,0.352002518,0.338890672,-1.038154364,3.107138872,0.176558387,0.492425078,0.187433298,1437.193524,0.762803326,0.118576684,3.551718139,1.861419483,0.957011545,-0.549207026,0.412406392,0.06508062,0.727740057,0.06508062,0.344921364,0.060645551,0.700610943,0.886782796,-0.472654883,0.646938199,0.96745969,0.986983876,0.96745969,0.97830646,0.06508062,0.828879173,0.821702177,0.119371753,824.6929589,0.650203062,0.174898469,3.321652875,36.74684201,138.0113377,11.43071809,0.419586781,4.053200134,146.6662475,0.112225694,0.213793461,12.29627977,0.258376183,0.750417682,0.135365808,8.5,0.53125,0.234375,2.125,763226.0625,2991372.938,206189.3438,0.71875,1.375,0.0859375,0.215952229,0.403642003,0.169029785,3.875,0.002699511,626002.1211,4.294552574,774.6514257,0.130698739,33.64490907,4521.135313,0.118598337,3.587481019,493.3772566,1822.768517,161.0294415,0.353129745,0.004117598,0.012138491,0.002112375,-0.536024141,1.412254357,3662.339231,0.991339527,0.988188833,2.905209516,2.824752569,0.597630715,0.265461123,0.092961572,-1.600317001,4.425069571,0.419471891,0.785938492,0.68275133,3662.339231,0.505990961,0.547229706,2.560252935,1.544928971,0.859811973,-0.138319302,0.842803528,0.149067955,0.699452928,0.149067955,0.601562193,0.125904605,0.378159653,1.594664559,-0.395950952,0.732582342,0.925466022,0.970186409,0.925466022,0.950310682,0.149067955,0.470394993,1.445596604,0.247967871,857.7822471,0.507274049,0.246362976,2.678861697,20.14564284,53.84147011,11.72168602,0.580284576,3.945052987,270.3413127,0.155229051,0.285208298,6.518740983,0.331487673,0.897590897,0.189961867,7.142857143,0.510204082,0.244897959,2.285714286,504292.0714,1474042.286,261854.5179,0.678571429,2.285714286,0.163265306,0.339336439,0.446630316,0.31251297,3.093069208,0.002361275,324939.8214,5.198455795,420.8637207,0.07098393,36.51810272,3000.020408,0.247004519,2.66419295,420.0740428,1115.011975,246.3395598,0.583951763,0.005364651,0.013414139,0.003352279,1
0.407669348,0.213629362,3.865407169,18.0939883,18.78829423,15.29705854,7.280109889,18.89444363,236.125,7.376364404,0.598651281,308.6063481,1.306961771,248,0.597635961,1.57141484,331.2024584,-3.20E-16,0.466708809,3.022314403,2.254667044,0.289728474,1.094922719,1.102360606,0.219792262,2.034874782,0.19642787,1.155635662,0.092380152,331.2024584,1,0.136638024,1,1,0,0,0,0,1,0,-3.20E-16,0,1,-3.20E-16,0,0,1,1,1,1,0,1,-3.20E-16,0,100.1538462,1,0,1,11.10618833,11.10618833,11.10618833,1,2.081278887,29.51331072,0.277514215,0.403846154,2.807449672,0.354244516,0.354244516,0.354244516,1,1,0,1,61504,61504,61504,1,1,1,1.63E-05,1.63E-05,1.63E-05,-3.20E-16,0.004032258,0,4.180134377,15.24193548,0.061459417,22.37903226,248,0,1,294.6290323,294.6290323,294.6290323,1,0.004854207,0.004854207,0.004854207,-0.129878081,0.734453326,48.49436765,0.770629069,0.470562989,3.875133329,1.649898767,0.278878747,0.262228749,0.221616976,-0.544252336,2.194151103,0.190626118,0.442201091,0.594392389,48.49436765,0.650364204,0.126777888,3.276444033,1.792955014,0.685377154,-0.39585703,0.44766843,0.20484202,0.363678516,0.20484202,0.722510956,0.160973706,0.512771068,1.364067751,-0.130989103,0.384912337,0.89757899,0.959031596,0.89757899,0.931719327,0.20484202,0.690534004,1.159225731,0.163127613,76.17732775,0.576971082,0.211514459,3.085130596,5.884763326,20.84541141,2.144601305,0.478717351,2.559242518,48.28043247,0.351551017,0.531637717,1.739894603,0.577688791,1.61499182,0.318363034,2.6,0.52,0.24,2.2,6098.8,22706.8,1946.8,0.7,1,0.2,0.250333738,0.251121352,0.250136834,2.321928095,0.02016129,3638.64,5.021633058,12.66935484,0.051086108,34.25884495,161.2903226,0.174817898,3.322580645,207.9032258,774.5645161,66.23790323,0.419354839,0.019357826,0.043037865,0.013437816,1
0.552802586,0.463384924,31.16601467,67.25729097,51.73973328,61,70.9365914,74.54528825,32811.25,37.18000437,0.496754235,9977.561115,0.304089637,32952,-0.275959969,0.491385567,5035.008782,0.890097983,0.35167504,9.165767354,1.359419823,0.258578717,0.096920905,0.127948664,-3.549565792,4.908985615,0.150305597,0.3908942,-1.518896989,5035.008782,0.574223302,0.143404614,2.998516259,1.69353481,0.920747693,-0.46762662,0.685987185,0.164176342,0.613877089,0.164176342,0.638042271,0.136162592,0.438755645,1.503463405,-0.308977599,0.641995736,0.917911829,0.967164732,0.917911829,0.945274553,0.164176342,0.611446639,1.339287063,0.212540882,4139.132804,0.510747624,0.244626188,2.718675163,33.46891177,112.9383128,13.60156152,0.570331209,4.194547182,1208.238842,0.143773081,0.24581209,13.97643493,0.329565267,0.781299389,0.216631736,17.7826087,0.7731569,0.11342155,1.391304348,27000773.48,94907144.87,10024180.63,0.902173913,3.52173913,0.153119093,0.30373946,0.326384387,0.298078228,3.257500414,0.000697985,24948156.65,4.847053682,3056.024278,0.092741693,34.39777004,18921.80626,0.212888349,3.077931537,459.1239378,1498.613195,199.2516236,0.480517116,0.004225775,0.010701011,0.002606967,0.056211011,1.247643209,23273.9456,0.42992832,0.536972106,4.923191727,3.142900467,0.374105346,0.66599154,0.672574461,-2.747539997,5.890440464,0.231077519,0.840913399,-0.061518563,23273.9456,0.839405087,0.263590613,3.753351686,1.925988452,0.606765432,-0.341027,0.22487514,0.049227339,0.638923018,0.049227339,0.282001442,0.04673732,0.81621144,0.610829946,-0.393583912,0.506034103,0.975386331,0.990154532,0.975386331,0.983590887,0.049227339,0.901374782,0.561602607,0.06852562,2707.782364,0.575657748,0.212171126,3.082774869,107.502325,423.836739,28.41872156,0.479306283,4.564757307,495.7847622,0.102126715,0.14262543,51.59010635,0.293307327,0.665291945,0.200311173,26.57894737,0.699445983,0.150277008,1.552631579,23762274.13,94857544.16,5988456.625,0.861842105,8.473684211,0.22299169,0.468193133,0.941877343,0.34977208,3.588103887,0.001154559,23012090.22,3.165845462,10494.32793,0.318850543,30.54041636,27627.33962,0.080297457,3.735849057,573.0455139,2230.0333,158.7985674,0.316037736,0.003592574,0.010197486,0.001941346,0
